id,respondido_en,2_edad,3_sexo,4_alcaldia_de_residencia,5_colonia_de_residencia,6_cual_es_tu_medio_de_transporte_mas_comun,7_estas_de_acuerdo_en_que_se_realice_la_ampliacion_de_la_linea_3_del_metrobus,8_si_respondiste_si_que_recomendaciones_harias_para_minimizar_las_afectaciones,9_si_respondiste_parcialmente_cuales_son_las_consideraciones_que_deberian_tomarse_en_cuenta_para_que,10_si_respondiste_no_queremos_conocer_tus_argumentos,11_te_beneficia_la_ampliacion_de_la_linea_3_del_metrobus
0,2019-11-14T04:12:47+00:00,29.0,M,Álvaro Obregón,Tizapan,A pie,No,,,Complica mucho el trafico,No
1,2019-11-14T00:28:46+00:00,49.0,Prefiero no decir,Álvaro Obregón,Lomas de San Angel Inn,Transporte público,No,,,"El metrobus es un medio de transporte infame. Los vagones van saturados. A veces he tenido que esperar media hora para que pase un metrobuscamión donde pueda yo entrar y generalmente tengo que ir parada y aplastada por las demás personas que viajan en el mismo vagón. Ya existe el metro para cubrir ese recorrido. En todo caso, otorguen más presupuesto a la línea 3 del metro que va de Ciudad Universitaria a Indios Verdes, ya que  necesita más vagones para cubrir la demanda. Y podrían tener los vagones del metro más limpios.",No
2,2019-11-13T23:09:12+00:00,52.0,F,Álvaro Obregón,Mixcoac,Transporte público,Sí,"Debe ser una calle completa, que permita la movilidad de peatones, Transporte pública y bicicleta. Solamente así se puede abonar a disminuir las emisiones contaminantes, y favorecer una movilidad activa.
Es decir, debe contar con ciclovías o carriles compartidos de bicicleta que efectivamente sean respetados.
Yo utilizo transporte público y bicicleta; pero la falta de garantías para circular de manera segura limita ese uso. Conectar diversos puntos de la ciudad es imprescindible. Yo suelo ir hacia ese rumbo, limito mis trayectos en bici, pues he sido agredida por automovilistas y microbuses en eje 8 sur, aunque es carril compartido.",,,Sí
3,2019-11-13T16:23:29+00:00,38.0,M,Álvaro Obregón,San Angel,Transporte público,Sí,Que el proyecto incluyera una ciclovía confinada y cruces seguros para los peatones.,,,Sí
4,2019-11-12T01:52:36+00:00,25.0,M,Álvaro Obregón,Barrio Tlacoyaque,Transporte público,Sí,Poner más policias y oficiales de transito en la zona de construcción tanto para evitar accidentes viales como para garantizar la seguridad de las personas de a pie,,,Sí
5,2019-11-08T19:31:27+00:00,26.0,F,Álvaro Obregón,Campestre,Transporte público,Sí,"Plan de desvíos por obras viales
Campañas publicitarias más fuertes sobre los imapctos positivos del proyecto
Integrar el proyecto con el cambio clímatico y calidad del aire de la ciudad de México
Mostrar el aumento de la plus valía de las zonas a afectar",,,Sí
6,2019-11-08T19:15:32+00:00,38.0,M,Álvaro Obregón,Hogar y Redención,Transporte público,Sí,"Crear una calle completa, incluyendo ciclovía",,,Sí
7,2019-11-08T18:07:16+00:00,18.0,M,Álvaro Obregón,Lomas de Plateros,Transporte público,Sí,Que la planeación sea adecuada,,,Sí
8,2019-11-08T17:00:16+00:00,29.0,M,Álvaro Obregón,Cove,Bicicleta,Sí,"No creo que haya afectaciones, debido a que los carriles de los extremos se pueden configurar como vehiculares y no habría problema alguno.",,,Sí
9,2019-11-08T15:13:37+00:00,26.0,F,Álvaro Obregón,Carola,Transporte público,Sí,"Definir horarios para los trabajos que no afecten la tranquilidad de las personas. Tener agentes de tránsito que auxilien con la vialidad y sobre todo, que cuiden a las y los usuarios más vulnerables de la vía durante las obras. Garantizar los espacios peatonales como prioridad de la pirámide de movilidad.",,,Sí
10,2019-11-08T04:03:52+00:00,31.0,M,Álvaro Obregón,Olivar de los Padres,Transporte público,Sí,Realizar los trabajos de noche y cerrando la menor cantidad de carriles posibles.,,,"No, Sí"
11,2019-11-08T00:17:56+00:00,22.0,M,Álvaro Obregón,Unidad Lomas de Plateros,Transporte público,Sí,"Ninguna, así está bien. Hay que incentivar el uso del transporte público.",,,Sí
12,2019-11-07T17:00:03+00:00,23.0,Prefiero no decir,Álvaro Obregón,Guadalupe Inn,Transporte público,Sí,Aumentar el número de unidades de metrobús para que verdaderamente mucha más gente puede hacer uso de este servicio de transporte público y que no vayamos como sardinas.,,,Sí
13,2019-11-07T15:34:21+00:00,45.0,M,Álvaro Obregón,Lomas de plateros,Bicicleta,Parcialmente,,"Av. Cuauhtémoc debe contar con infraestructura ciclista segura para permitir tránsito seguro de ciclistas conforme jerarquía de movilidad que establece la ley de movilidad.
Así se podrá evitará la invasión del carril exclusivo del metrobus y garantizará seguridad de todos los usuarios de la calle.",,Sí
14,2019-11-11T22:48:28+00:00,25.0,M,Azcapotzalco,San Miguel Amantla,Transporte público,Sí,"Mejores señalamientos peatonales, iluminación. Señalamientos en transferencias entre metrobús, metro y otros medios de transporte.",,,Sí
15,2019-11-10T00:28:36+00:00,22.0,F,Azcapotzalco,Progreso Nacional,Transporte público,Sí,"Ninguna, no hay afectaciones graves",,,Sí
